experiment	sample	primer	cq
infiltration	10inf5.3	UBI3	20.79089951
infiltration	10inf5.3	xopQ	31.92195761
infiltration	10inf5.3	UBI3	20.69138125
infiltration	10inf6.3	xopQ	29.12041101
infiltration	10inf6.3	UBI3	20.09175717
infiltration	10inf6.3	xopQ	28.32642871
infiltration	10inf6.3	UBI3	20.11841804
infiltration	10inf7.3	xopQ	25.99451799
infiltration	10inf7.3	UBI3	21.09472375
infiltration	10inf7.3	xopQ	25.24454037
infiltration	10inf7.3	UBI3	21.15131393
infiltration	10inf8.3	xopQ	20.44720897
infiltration	10inf8.3	UBI3	22.14255239
infiltration	10inf8.3	xopQ	20.00102404
infiltration	10inf8.3	UBI3	22.03737577
infiltration	10inf4.4	xopQ	35.63610328
infiltration	10inf4.4	UBI3	21.06514912
infiltration	10inf4.4	xopQ	34.3989244
