Sample_name	ENA_Accession	Lane	Barcode	Primer_code	ASV_table	Tagging_primers1	Tagging_primers2	Tagging_primers3	Abbreviated_description	Long_description	custom_scripts_ID
R168L1BC11_V4GI502	ERS4560497	L1	BC11	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0.25_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 99.75% plant 0.25% mixed bacteria	TitRep1_0.25_L1
R168L1BC12_V4GI502	ERS4560498	L1	BC12	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 100% plant, 0% mixed bacteria	TitRep1_0_L1
R168L1BC13_V4GI502	ERS4560499	L1	BC13	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0noPNA_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep1_0noPNA_L1
R168L1BC14_V4GI502	ERS4560500	L1	BC14	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_blank_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, water blank	TitRep1_blank_L1
R168L1BC15_V4GI502	ERS4560501	L1	BC15	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	RefPOOL1	Remixed Pooled Libraries: Reference Sample Replicate 1	RefPOOL1_L1
R168L1BC16_V4GI502	ERS4560502	L1	BC16	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_9_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 9 tagging cycles and 23 PCR cycles	plasmid_9_L1
R168L1BC17_V4GI502	ERS4560503	L1	BC17	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_E100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, pure E.coli	TitRep2_E100_L1
R168L1BC18_V4GI502	ERS4560504	L1	BC18	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_M100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, mixed bacteria	TitRep2_M100_L1
R168L1BC19_V4GI502	ERS4560505	L1	BC19	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_24_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 76% plant 24% mixed bacteria	TitRep2_24_L1
R168L1BC20_V4GI502	ERS4560506	L1	BC20	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_20_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 80% plant 20% mixed bacteria	TitRep2_20_L1
R168L1BC21_V4GI502	ERS4560507	L1	BC21	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_16_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 84% plant 16% mixed bacteria	TitRep2_16_L1
R168L1BC22_V4GI502	ERS4560508	L1	BC22	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_8_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 92% plant 8% mixed bacteria	TitRep2_8_L1
R168L1BC23_V4GI502	ERS4560509	L1	BC23	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_4_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 96% plant 4% mixed bacteria	TitRep2_4_L1
R168L1BC24_V4GI502	ERS4560510	L1	BC24	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_2_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 98% plant 2% mixed bacteria	TitRep2_2_L1
R168L1BC25_V4GI502	ERS4560511	L1	BC25	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_1_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 99% plant 1% mixed bacteria	TitRep2_1_L1
R168L1BC26_V4GI502	ERS4560512	L1	BC26	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0.5_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 99.5% plant 0.5% mixed bacteria	TitRep2_0.5_L1
R168L1BC27_V4GI502	ERS4560513	L1	BC27	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0.25_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 99.75% plant 0.25% mixed bacteria	TitRep2_0.25_L1
R168L1BC28_V4GI502	ERS4560514	L1	BC28	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 100% plant, 0% mixed bacteria	TitRep2_0_L1
R168L1BC29_V4GI502	ERS4560515	L1	BC29	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_0noPNA_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep2_0noPNA_L1
R168L1BC30_V4GI502	ERS4560516	L1	BC30	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep2_blank_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 2, water blank	TitRep2_blank_L1
R168L1BC31_V4GI502	ERS4560517	L1	BC31	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	RefPOOL2	Remixed Pooled Libraries: Reference Sample Replicate 2	RefPOOL2_L1
R168L1BC32_V4	ERS4560518	L1	BC32	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_10_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 10 tagging cycles and 22 PCR cycles	16S_wild_10_L1
R168L1BC33_V4GI502	ERS4560519	L1	BC33	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_E100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, pure E.coli	TitRep3_E100_L1
R168L1BC34_V4GI502	ERS4560520	L1	BC34	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_M100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, mixed bacteria	TitRep3_M100_L1
R168L1BC35_V4GI502	ERS4560521	L1	BC35	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_24_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 76% plant 24% mixed bacteria	TitRep3_24_L1
R168L1BC36_V4GI502	ERS4560522	L1	BC36	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_20_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 80% plant 20% mixed bacteria	TitRep3_20_L1
R168L1BC37_V4GI502	ERS4560523	L1	BC37	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_16_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 84% plant 16% mixed bacteria	TitRep3_16_L1
R168L1BC38_V4GI502	ERS4560524	L1	BC38	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_8_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 92% plant 8% mixed bacteria	TitRep3_8_L1
R168L1BC39_V4GI502	ERS4560525	L1	BC39	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_4_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 96% plant 4% mixed bacteria	TitRep3_4_L1
R168L1BC40_V4GI502	ERS4560526	L1	BC40	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_2_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 98% plant 2% mixed bacteria	TitRep3_2_L1
R168L1BC41_V4GI502	ERS4560527	L1	BC41	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_1_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 99% plant 1% mixed bacteria	TitRep3_1_L1
R168L1BC42_V4GI502	ERS4560528	L1	BC42	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0.5_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 99.5% plant 0.5% mixed bacteria	TitRep3_0.5_L1
R168L1BC43_V4GI502	ERS4560529	L1	BC43	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0.25_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 99.75% plant 0.25% mixed bacteria	TitRep3_0.25_L1
R168L1BC44_V4GI502	ERS4560530	L1	BC44	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 100% plant, 0% mixed bacteria	TitRep3_0_L1
R168L1BC45_V4GI502	ERS4560531	L1	BC45	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_0noPNA_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, 100% plant, 0% mixed bacteria, amplified without PNAs	TitRep3_0noPNA_L1
R168L1BC46_V4GI502	ERS4560532	L1	BC46	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep3_blank_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 3, water blank	TitRep3_blank_L1
R168L1BC47_V4GI502	ERS4560533	L1	BC47	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	RefPOOL3	Remixed Pooled Libraries: Reference Sample Replicate 3	RefPOOL3_L1
R168L1BC48_V4GI502	ERS4560534	L1	BC48	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hm_wild_10_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 10 tagging cycles and 22 PCR cycles	hm_wild_10_L1
R168L1BC49_V4	ERS4560535	L1	BC49	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.1_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 1	16S_wild_2.1_L1
R168L1BC50_V4GI502	ERS4560536	L1	BC50	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.1_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 1	hmPCR_wild_2.1_L1
R168L1BC51_V4GI502	ERS4560537	L1	BC51	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.1_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 1	plasmid_2.1_L1
R168L1BC52_V4	ERS4560538	L1	BC52	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.2_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 2	16S_wild_2.2_L1
R168L1BC53_V4GI502	ERS4560539	L1	BC53	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.2_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 2	hmPCR_wild_2.2_L1
R168L1BC54_V4GI502	ERS4560540	L1	BC54	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.2_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 2	plasmid_2.2_L1
R168L1BC55_V4	ERS4560541	L1	BC55	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.3_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 3	16S_wild_2.3_L1
R168L1BC56_V4GI502	ERS4560542	L1	BC56	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.3_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 3	hmPCR_wild_2.3_L1
R168L1BC57_V4GI502	ERS4560543	L1	BC57	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.3_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 3	plasmid_2.3_L1
R168L1BC58_V4	ERS4560544	L1	BC58	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_2.4_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 2 tagging cycles and 30 PCR cycles, Replicate 4	16S_wild_2.4_L1
R168L1BC59_V4GI502	ERS4560545	L1	BC59	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_2.4_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 2 tagging cycles and 30 PCR cycles, Replicate 4	hmPCR_wild_2.4_L1
R168L1BC60_V4GI502	ERS4560546	L1	BC60	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_2.4_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 2 tagging cycles and 30 PCR cycles, Replicate 4	plasmid_2.4_L1
R168L1BC61_V4	ERS4560547	L1	BC61	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_3_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 3 tagging cycles and 29 PCR cycles	16S_wild_3_L1
R168L1BC62_V4GI502	ERS4560548	L1	BC62	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_3_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 3 tagging cycles and 29 PCR cycles	hmPCR_wild_3_L1
R168L1BC63_V4GI502	ERS4560549	L1	BC63	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_3_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 3 tagging cycles and 29 PCR cycles	plasmid_3_L1
R168L1BC64_V4	ERS4560550	L1	BC64	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_4_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 4 tagging cycles and 28 PCR cycles	16S_wild_4_L1
R168L1BC65_V4GI502	ERS4560551	L1	BC65	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_4_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 4 tagging cycles and 28 PCR cycles	hmPCR_wild_4_L1
R168L1BC66_V4GI502	ERS4560552	L1	BC66	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_4_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 4 tagging cycles and 28 PCR cycles	plasmid_4_L1
R168L1BC67_V4	ERS4560553	L1	BC67	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_5_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 5 tagging cycles and 27 PCR cycles	16S_wild_5_L1
R168L1BC68_V4GI502	ERS4560554	L1	BC68	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_5_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 5 tagging cycles and 27 PCR cycles	hmPCR_wild_5_L1
R168L1BC69_V4GI502	ERS4560555	L1	BC69	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_5_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 5 tagging cycles and 27 PCR cycles	plasmid_5_L1
R168L1BC70_V4	ERS4560556	L1	BC70	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_6_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 6 tagging cycles and 26 PCR cycles	16S_wild_6_L1
R168L1BC71_V4GI502	ERS4560557	L1	BC71	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_6_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 6 tagging cycles and 26 PCR cycles	hmPCR_wild_6_L1
R168L1BC72_V4GI502	ERS4560558	L1	BC72	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_6_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 6 tagging cycles and 26 PCR cycles	plasmid_6_L1
R168L1BC73_V4	ERS4560559	L1	BC73	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_7_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 7 tagging cycles and 25 PCR cycles	16S_wild_7_L1
R168L1BC74_V4GI502	ERS4560560	L1	BC74	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_7_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 7 tagging cycles and 25 PCR cycles	hmPCR_wild_7_L1
R168L1BC75_V4GI502	ERS4560561	L1	BC75	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_7_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 7 tagging cycles and 25 PCR cycles	plasmid_7_L1
R168L1BC76_V4	ERS4560562	L1	BC76	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_8_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 8 tagging cycles and 24 PCR cycles	16S_wild_8_L1
R168L1BC77_V4GI502	ERS4560563	L1	BC77	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_8_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 8 tagging cycles and 24 PCR cycles	hmPCR_wild_8_L1
R168L1BC78_V4GI502	ERS4560564	L1	BC78	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	plasmid_8_remix	Remixed Pooled Libraries: Synethetic Equimolar Plasmid Template, 8 tagging cycles and 24 PCR cycles	plasmid_8_L1
R168L1BC79_V4	ERS4560565	L1	BC79	V4	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	NA	NA	16S_wild_9_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 16S rDNA primers only, 9 tagging cycles and 23 PCR cycles	16S_wild_9_L1
R168L1BC80_V4GI502	ERS4560566	L1	BC80	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	hmPCR_wild_9_remix	Remixed Pooled Libraries: Pooled wild A. thaliana leaf, 9 tagging cycles and 23 PCR cycles	hmPCR_wild_9_L1
R168L1BC81_V4GI502	ERS4560567	L1	BC81	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_E100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, pure E.coli	TitRep4_E100_L1
R168L1BC82_V4GI502	ERS4560568	L1	BC82	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_M100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, mixed bacteria	TitRep4_M100_L1
R168L1BC83_V4GI502	ERS4560569	L1	BC83	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep4_24_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 4, 76% plant 24% mixed bacteria	TitRep4_24_L1
